accuracy,type,alpha,,,
0.747712418301,bernoulliNB,0.0629498899022,,,
0.746840958606,bernoulliNB,0.0636824994472,,,
0.745098039216,bernoulliNB,0.0644236350872,,,
0.744662309368,bernoulliNB,0.0651733960488,,,
0.742919389978,bernoulliNB,0.0659318827133,,,
0.741176470588,bernoulliNB,0.0666991966303,,,
0.738997821351,bernoulliNB,0.0674754405311,,,
0.737690631808,bernoulliNB,0.0682607183427,,,
0.735947712418,bernoulliNB,0.0690551352016,,,
0.734640522876,bernoulliNB,0.0698587974679,,,
0.734640522876,bernoulliNB,0.0706718127393,,,
0.732461873638,bernoulliNB,0.071494289866,,,
0.732026143791,bernoulliNB,0.0723263389648,,,
0.731590413943,bernoulliNB,0.0731680714343,,,
0.731154684096,bernoulliNB,0.0740195999692,,,
0.730718954248,bernoulliNB,0.0748810385759,,,
0.730718954248,bernoulliNB,0.0757525025877,,,
0.729411764706,bernoulliNB,0.0766341086801,,,
0.728540305011,bernoulliNB,0.0775259748863,,,
0.727668845316,bernoulliNB,0.0784282206134,,,
0.725925925926,bernoulliNB,0.079340966658,,,
0.724183006536,bernoulliNB,0.0802643352226,,,
0.721568627451,bernoulliNB,0.0811984499318,,,
0.720261437908,bernoulliNB,0.0821434358492,,,
0.717211328976,bernoulliNB,0.0830994194935,,,
0.714161220044,bernoulliNB,0.0840665288562,,,
0.712418300654,bernoulliNB,0.085044893418,,,
0.711111111111,bernoulliNB,0.0860346441668,,,
0.710239651416,bernoulliNB,0.0870359136149,,,
0.708932461874,bernoulliNB,0.0880488358164,,,
0.707625272331,bernoulliNB,0.0890735463861,,,
0.705882352941,bernoulliNB,0.0901101825167,,,
0.702832244009,bernoulliNB,0.0911588829975,,,
0.703267973856,bernoulliNB,0.0922197882333,,,
0.701089324619,bernoulliNB,0.0932930402628,,,
0.698474945534,bernoulliNB,0.0943787827778,,,
0.695424836601,bernoulliNB,0.0954771611421,,,
0.693681917211,bernoulliNB,0.0965883224116,,,
0.692374727669,bernoulliNB,0.0977124153535,,,
0.691503267974,bernoulliNB,0.0988495904663,,,
0.688017429194,bernoulliNB,0.1,,,
